
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
       1 -0.59288E-001
       3 -0.57718E-001
       4 -0.56148E-001
       5 -0.54577E-001
       6 -0.53006E-001
       7 -0.51436E-001
       8 -0.49867E-001
       9 -0.48298E-001
      10 -0.46731E-001
      11 -0.45166E-001
      12 -0.43604E-001
      13 -0.42046E-001
      14 -0.40492E-001
      15 -0.38943E-001
      16 -0.37399E-001
      17 -0.35864E-001
      18 -0.34336E-001
      19 -0.32818E-001
      20 -0.31310E-001
      21 -0.29814E-001
      22 -0.28332E-001
      23 -0.26864E-001
      24 -0.25412E-001
      25 -0.23979E-001
      26 -0.22565E-001
      27 -0.21173E-001
      28 -0.19804E-001
      29 -0.18460E-001
      30 -0.17143E-001
      31 -0.15856E-001
      32 -0.14600E-001
      33 -0.13378E-001
      34 -0.12191E-001
      35 -0.11043E-001
      36 -0.99356E-002
      37 -0.88721E-002
      38 -0.78531E-002
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
      39 -0.68844E-002
      40 -0.59649E-002
      41 -0.51021E-002
     108 -0.59288E-001
     109 -0.57718E-001
     112 -0.56148E-001
     115 -0.54577E-001
     118 -0.53006E-001
     121 -0.51436E-001
     124 -0.49866E-001
     127 -0.48297E-001
     130 -0.46730E-001
     133 -0.45165E-001
     136 -0.43602E-001
     139 -0.42043E-001
     142 -0.40488E-001
     145 -0.38939E-001
      42 -0.42930E-002
     148 -0.37395E-001
     151 -0.35858E-001
     154 -0.34330E-001
     157 -0.32811E-001
     160 -0.31302E-001
     163 -0.29806E-001
     166 -0.28322E-001
     169 -0.26854E-001
     172 -0.25401E-001
     175 -0.23967E-001
      43 -0.35483E-002
     178 -0.22552E-001
     181 -0.21159E-001
     184 -0.19788E-001
     187 -0.18443E-001
     190 -0.17126E-001
      44 -0.28610E-002
     193 -0.15837E-001
     196 -0.14579E-001
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
     199 -0.13355E-001
     202 -0.12168E-001
      45 -0.22471E-002
     205 -0.11018E-001
     208 -0.99094E-002
     211 -0.88432E-002
      46 -0.16934E-002
     214 -0.78241E-002
     217 -0.68518E-002
     220 -0.59329E-002
      47 -0.12242E-002
     223 -0.50654E-002
     226 -0.42583E-002
     229 -0.35068E-002
      48 -0.81586E-003
     232 -0.28239E-002
     235 -0.22000E-002
      49 -0.50529E-003
     238 -0.16545E-002
     241 -0.11702E-002
      50 -0.25821E-003
     244 -0.77642E-003
     247 -0.44327E-003
      51 -0.12368E-003
     250 -0.21767E-003
     253 -0.47156E-004
     251 -0.18310E-003
      52   0.0000     
      53   0.0000     
      54   0.0000     
      55   0.0000     
       2   0.0000     
     254 -0.40426E-004
     248 -0.43940E-003
     245 -0.75109E-003
     242 -0.11619E-002
     239 -0.16342E-002
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
